text,category,subcategory,language,is_sarcastic
"Saket ke community hall mein maintenance bilkul poor hai, please fix @MCD_Delhi.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
The Vikaspuri hall noise management is a masterclass in how to ignore NGT guidelines. Thanks MCD!,community_and_public_spaces,noise_complaints_from_municipal_event_spaces,English,Yes
"Mayur Vihar ke halls mein loud music aur announcements aa rahe hain, please act @MCD_Delhi.",community_and_public_spaces,noise_complaints_from_municipal_event_spaces,Hinglish,No
MCD has successfully turned Pitampura hall into a stable—it smells exactly like one! Amazing work.,community_and_public_spaces,community_hall_mismanagement,English,Yes
"@MCD_Delhi, thanks for the 'Live Concert'! My house in Karol Bagh is now basically the VIP gallery for the hall.",community_and_public_spaces,noise_complaints_from_municipal_event_spaces,English,Yes
Def Col mein bhi ab community halls neglect ho rahe hain. Walls se plaster gir raha hai chairs pe.,community_and_public_spaces,community_hall_mismanagement,Hinglish,No
Moti Nagar mein Barat Ghar staff security refund ke liye 20% commission maang raha hai. Sharam karo @MCD_Delhi.,community_and_public_spaces,barat_ghar_booking_disputes,Hinglish,No
दिल्ली Haat ke municipal hall mein overcharging aur delays bilkul poor hain.,community_and_public_spaces,overcharging_for_municipal_halls,Hindi,No
Wow! Dwarka ka municipal hall ab 'luxury pricing' mode mein. Thanks @MCD_Delhi!,community_and_public_spaces,overcharging_for_municipal_halls,English,Yes
Thanks MCD for the 'Surprise Guest' experience! Having another wedding in the same hall I paid for is just brilliant.,community_and_public_spaces,barat_ghar_booking_disputes,English,Yes
Kudos to @MCD_Delhi! Our local hall in Dwarka is now a 5-star resort for stray dogs. Humans are not invited.,community_and_public_spaces,community_hall_mismanagement,English,Yes
Thanks @MCD_Delhi! Vasant Kunj ka community hall ab 'chaotic event experience' provide kar raha hai.,community_and_public_spaces,community_hall_mismanagement,English,Yes
Fantastic @MCD_Delhi! GK-1 ka barat ghar ab 'chaotic wedding planning adventure' provide kar raha hai.,community_and_public_spaces,barat_ghar_booking_disputes,English,Yes
"नवीन किशनगंज ke hall mein flooring aur furniture bilkul kharab hain, repair urgently.",community_and_public_spaces,broken_infrastructure_in_halls,Hindi,No
"नजफगढ़ ke hall mein infrastructure aur furniture bilkul kharab hain, citizens complain kar rahe hain.",community_and_public_spaces,broken_infrastructure_in_halls,Hindi,No
"करोल बाग ke municipal hall ka overcharge bilkul unfair hai, turant action chahiye @MCD_Delhi.",community_and_public_spaces,overcharging_for_municipal_halls,Hindi,No
Moti Nagar mein community hall staff ne decoration walo se paise liye aur unhe entry nahi di jab tak maine pay nahi kiya.,community_and_public_spaces,overcharging_for_municipal_halls,Hinglish,No
"@MCD_Delhi, Dwarka ka community hall ab 'no-facility adventure' ready for hosting!",community_and_public_spaces,community_hall_mismanagement,English,Yes
Def Col mein municipal hall ke staff ne service charges ke naam pe naya rate list bana liya hai. System fail hai.,community_and_public_spaces,overcharging_for_municipal_halls,Hinglish,No
MCD's version of 'Dynamic Pricing': The price for Rohini hall increases every time you ask the clerk! Brilliant!,community_and_public_spaces,overcharging_for_municipal_halls,English,Yes
"Saket ke community hall mein management aur facilities bilkul poor hain, please rectify @MCD_Delhi.",community_and_public_spaces,community_hall_mismanagement,Hinglish,No
Def Col mein bhi ab Barat Ghar ka shor residential peace khatam kar raha hai. MCD team so rahi hai.,community_and_public_spaces,noise_complaints_from_municipal_event_spaces,Hinglish,No
Illegal demand of 7000 as 'Security Facilitation' at the Greater Kailash 1 municipal hall. Please investigate.,community_and_public_spaces,overcharging_for_municipal_halls,English,No
Patel Nagar mein Barat Ghar ki wiring jali hui hai. Bina AC ke function karwana majboori hai. @DelhiCM,community_and_public_spaces,broken_infrastructure_in_halls,Hinglish,No
क्या @MCD_Delhi ने करोल बाग हॉल को नीलामी केंद्र बना दिया है? जो ज्यादा पैसे देता है उसे ही हॉल मिलता है।,community_and_public_spaces,overcharging_for_municipal_halls,Hindi,Yes
नवीन किशनगंज ke municipal halls mein music aur announcements bilkul unbearable hain.,community_and_public_spaces,noise_complaints_from_municipal_event_spaces,Hindi,No
Sarita Vihar Pocket K hall mein sound system ke naam pe sirf shor milta hai. Speaker phate huye hain.,community_and_public_spaces,broken_infrastructure_in_halls,Hinglish,No
